customerID,gender,SeniorCitizen,Partner,Dependents,Antiguedad,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Prediccion_Modelo,Crush Rate
sdv-id-pJvgxt,Female,0,Yes,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,22.11,816.445,0,0.15440859259742246
sdv-id-QZoJix,Male,0,No,Yes,29,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,24.32,757.656,0,0.2067343023752111
sdv-id-sUpodm,Male,0,No,Yes,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.07,1081.986,0,0.027396726635019047
sdv-id-VQZvMN,Male,0,Yes,No,3,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,84.32,61.568,1,0.8615858948913016
sdv-id-fHaBym,Male,0,Yes,Yes,19,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),54.18,3478.42,0,0.1721863474337803
sdv-id-vZLBtQ,Male,0,Yes,Yes,45,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),42.24,5575.841,0,0.07795424044619863
sdv-id-bsSPKa,Male,0,No,No,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),22.59,1168.799,0,0.06555171101283944
sdv-id-REEpbp,Male,0,No,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.49,18.8,0,0.3918500704251285
sdv-id-dSElnr,Female,0,No,No,61,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,94.54,1823.095,1,0.5854196075419278
sdv-id-jZVxJd,Male,0,Yes,Yes,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.64,102.045,0,0.377919299326151
sdv-id-WXkorf,Male,0,No,No,66,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.28,3777.362,1,0.5733683850288488
sdv-id-QUoJOA,Female,0,Yes,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,92.64,18.8,1,0.9764350286330192
sdv-id-lmdzUR,Female,0,Yes,Yes,47,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),104.11,6388.293,0,0.44360060006313096
sdv-id-bjwkpo,Male,0,Yes,Yes,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),21.46,1298.705,0,0.02710971241309091
sdv-id-ZAiBUM,Female,0,Yes,Yes,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,21.12,907.29,0,0.16781164864969506
sdv-id-TJRNGW,Female,1,Yes,No,14,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,59.19,8087.024,0,0.31568502272060495
sdv-id-PtHatA,Male,0,Yes,Yes,50,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,97.24,1794.473,1,0.727066513473216
sdv-id-OASRxR,Female,1,Yes,No,20,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),87.33,1374.591,1,0.7779244632961497
sdv-id-HWMHji,Male,0,No,No,5,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,27.59,645.163,0,0.3848488982721574
sdv-id-eARzce,Female,0,Yes,No,67,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),68.06,7094.955,0,0.07825754618345813
sdv-id-JRqtoJ,Male,0,No,No,36,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Credit card (automatic),37.63,137.307,0,0.14223616683510776
